Datetime,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,hour,day_of_week,month,is_weekend,CO(GT)_lag_1,CO(GT)_lag_2,CO(GT)_lag_3,PT08.S1(CO)_lag_1,PT08.S1(CO)_lag_2,PT08.S1(CO)_lag_3,T_lag_1,T_lag_2,T_lag_3,RH_lag_1,RH_lag_2,RH_lag_3,CO(GT)_rolling_mean_6,PT08.S1(CO)_rolling_mean_6,T_rolling_mean_6,RH_rolling_mean_6
2004-11-03 11:00:00,1.5,1179.0,43.0,5.0,762.0,95.0,1328.0,92.0,1362.0,671.0,10.5,57.9,0.7352,11,2,11,0,1.7,2.2,2.0,1233.0,1351.0,1333.0,10.8,10.5,10.8,58.4,60.6,57.4,1.4000000000000001,1196.5,10.633333333333335,58.38333333333333
2004-11-03 12:00:00,1.6,1236.0,61.0,5.2,774.0,104.0,1301.0,95.0,1401.0,664.0,9.5,66.8,0.7951,12,2,11,0,1.5,1.7,2.2,1179.0,1233.0,1351.0,10.5,10.8,10.5,57.9,58.4,60.6,1.5333333333333332,1215.3333333333333,10.55,58.666666666666664
2004-11-03 13:00:00,1.9,1286.0,63.0,7.3,869.0,146.0,1162.0,112.0,1537.0,799.0,8.3,76.4,0.8393,13,2,11,0,1.6,1.5,1.7,1236.0,1179.0,1233.0,9.5,10.5,10.8,66.8,57.9,58.4,1.6833333333333336,1246.0,10.383333333333335,60.11666666666667
2004-11-03 14:00:00,2.9,1371.0,164.0,11.5,1034.0,207.0,983.0,128.0,1730.0,1037.0,8.0,81.1,0.8736,14,2,11,0,1.9,1.6,1.5,1286.0,1236.0,1179.0,8.3,9.5,10.5,76.4,66.8,57.9,1.8166666666666664,1269.6666666666667,10.066666666666666,62.916666666666664
2004-11-03 15:00:00,2.2,1310.0,79.0,8.8,933.0,184.0,1082.0,126.0,1647.0,946.0,8.3,79.8,0.8778,15,2,11,0,2.9,1.9,1.6,1371.0,1286.0,1236.0,8.0,8.3,9.5,81.1,76.4,66.8,1.9666666666666666,1276.0,9.6,66.86666666666666
2004-11-03 16:00:00,2.2,1292.0,95.0,8.3,912.0,193.0,1103.0,131.0,1591.0,957.0,9.7,71.2,0.8569,16,2,11,0,2.2,2.9,1.9,1310.0,1371.0,1286.0,8.3,8.0,8.3,79.8,81.1,76.4,1.9666666666666668,1269.1666666666667,9.233333333333334,70.06666666666666
2004-11-03 17:00:00,2.9,1383.0,150.0,11.2,1020.0,243.0,1008.0,135.0,1719.0,1104.0,9.8,67.6,0.8185,17,2,11,0,2.2,2.2,2.9,1292.0,1310.0,1371.0,9.7,8.3,8.0,71.2,79.8,81.1,2.0500000000000003,1279.0,9.049999999999999,72.2
2004-11-03 18:00:00,4.8,1581.0,307.0,20.8,1319.0,281.0,799.0,151.0,2083.0,1409.0,10.3,64.2,0.8065,18,2,11,0,2.9,2.2,2.2,1383.0,1292.0,1310.0,9.8,9.7,8.3,67.6,71.2,79.8,2.2833333333333337,1313.0,8.933333333333334,73.81666666666666
2004-11-03 19:00:00,6.9,1776.0,461.0,27.4,1488.0,383.0,702.0,172.0,2333.0,1704.0,9.7,69.3,0.8319,19,2,11,0,4.8,2.9,2.2,1581.0,1383.0,1292.0,10.3,9.8,9.7,64.2,67.6,71.2,2.8166666666666664,1370.5,9.066666666666666,73.38333333333333
2004-11-03 20:00:00,6.1,1640.0,401.0,24.0,1404.0,351.0,743.0,165.0,2191.0,1654.0,9.6,67.8,0.8133,20,2,11,0,6.9,4.8,2.9,1776.0,1581.0,1383.0,9.7,10.3,9.8,69.3,64.2,67.6,3.65,1452.1666666666667,9.3,72.2
2004-11-03 21:00:00,3.9,1313.0,197.0,12.8,1076.0,240.0,957.0,136.0,1707.0,1285.0,9.1,64.0,0.7419,21,2,11,0,6.1,6.9,4.8,1640.0,1776.0,1581.0,9.6,9.7,10.3,67.8,69.3,64.2,4.183333333333334,1497.0,9.566666666666668,69.98333333333333
2004-11-03 22:00:00,1.5,965.0,61.0,4.7,749.0,94.0,1325.0,85.0,1333.0,821.0,8.2,63.4,0.6905,22,2,11,0,3.9,6.1,6.9,1313.0,1640.0,1776.0,9.1,9.6,9.7,64.0,67.8,69.3,4.466666666666666,1497.5,9.7,67.35000000000001
2004-11-03 23:00:00,1.0,913.0,26.0,2.6,629.0,47.0,1565.0,53.0,1252.0,552.0,8.2,60.8,0.6657,23,2,11,0,1.5,3.9,6.1,965.0,1313.0,1640.0,8.2,9.1,9.6,63.4,64.0,67.8,4.35,1443.0,9.450000000000001,66.05
2004-12-03 00:00:00,1.7,1080.0,55.0,5.9,805.0,122.0,1254.0,97.0,1375.0,816.0,8.3,58.5,0.6438,0,4,12,0,1.0,1.5,3.9,913.0,965.0,1313.0,8.2,8.2,9.1,60.8,63.4,64.0,4.033333333333333,1364.6666666666667,9.183333333333332,64.91666666666667
2004-12-03 01:00:00,1.9,1044.0,53.0,6.4,829.0,133.0,1247.0,110.0,1378.0,832.0,7.7,59.7,0.6308,1,4,12,0,1.7,1.0,1.5,1080.0,913.0,965.0,8.3,8.2,8.2,58.5,60.8,63.4,3.516666666666667,1281.1666666666667,8.85,63.96666666666666
2004-12-03 02:00:00,1.4,988.0,40.0,4.1,718.0,82.0,1396.0,91.0,1304.0,692.0,7.1,61.8,0.6276,2,4,12,0,1.9,1.7,1.0,1044.0,1080.0,913.0,7.7,8.3,8.2,59.7,58.5,60.8,2.683333333333333,1159.1666666666667,8.516666666666666,62.36666666666667
2004-12-03 03:00:00,0.8,889.0,21.0,1.9,574.0,51.5,1680.0,61.5,1187.0,512.0,7.0,62.3,0.6261,3,4,12,0,1.4,1.9,1.7,988.0,1044.0,1080.0,7.1,7.7,8.3,61.8,59.7,58.5,1.9000000000000001,1050.5,8.1,61.36666666666667
2004-12-03 04:00:00,0.7,831.0,10.0,1.1,506.0,21.0,1893.0,32.0,1134.0,384.0,6.1,65.9,0.6248,4,4,12,0,0.8,1.4,1.9,889.0,988.0,1044.0,7.0,7.1,7.7,62.3,61.8,59.7,1.383333333333333,979.8333333333334,7.75,61.083333333333336
2004-12-03 05:00:00,0.6,847.0,7.0,1.0,501.0,30.0,1895.0,44.0,1155.0,394.0,6.3,65.0,0.6233,5,4,12,0,0.7,0.8,1.4,831.0,889.0,988.0,6.1,7.0,7.1,65.9,62.3,61.8,1.2499999999999998,957.5,7.3999999999999995,61.5
2004-12-03 06:00:00,0.8,927.0,17.0,1.8,571.0,56.0,1685.0,71.0,1223.0,487.0,6.8,62.9,0.6234,6,4,12,0,0.6,0.7,0.8,847.0,831.0,889.0,6.3,6.1,7.0,65.0,65.9,62.3,1.1833333333333333,946.5,7.083333333333333,62.20000000000001
2004-12-03 07:00:00,1.4,1091.0,33.0,4.4,730.0,109.0,1387.0,104.0,1361.0,748.0,6.4,65.1,0.6316,7,4,12,0,0.8,0.6,0.7,927.0,847.0,831.0,6.8,6.3,6.1,62.9,65.0,65.9,1.0333333333333334,921.0,6.833333333333333,62.93333333333334
2004-12-03 08:00:00,4.4,1587.0,202.0,17.9,1236.0,307.0,897.0,141.0,1900.0,1400.0,7.3,63.1,0.6499,8,4,12,0,1.4,0.8,0.6,1091.0,927.0,847.0,6.4,6.8,6.3,65.1,62.9,65.0,0.9499999999999998,928.8333333333334,6.616666666666667,63.833333333333336
2004-12-03 09:00:00,3.75,1545.0,205.0,22.1,1353.0,247.0,767.0,131.5,2058.0,1588.0,9.2,56.2,0.6561,9,4,12,0,4.4,1.4,0.8,1587.0,1091.0,927.0,7.3,6.4,6.8,63.1,65.1,62.9,1.45,1028.6666666666667,6.6499999999999995,64.05
2004-12-03 10:00:00,3.1,1350.0,208.0,14.0,1118.0,187.0,912.0,122.0,1712.0,1237.0,13.2,41.7,0.632,10,4,12,0,3.75,4.4,1.4,1545.0,1587.0,1091.0,9.2,7.3,6.4,56.2,63.1,65.1,1.9416666666666664,1138.0,7.016666666666667,63.03333333333333
2004-12-03 11:00:00,2.7,1263.0,166.0,11.6,1037.0,216.0,969.0,143.0,1598.0,1167.0,14.3,38.4,0.6243,11,4,12,0,3.1,3.75,4.4,1350.0,1545.0,1587.0,13.2,9.2,7.3,41.7,56.2,63.1,2.341666666666667,1224.5,8.2,59.0
2004-12-03 12:00:00,2.1,1206.0,114.0,10.2,986.0,143.0,1035.0,113.0,1537.0,959.0,15.0,36.5,0.6195,12,4,12,0,2.7,3.1,3.75,1263.0,1350.0,1545.0,14.3,13.2,9.2,38.4,41.7,56.2,2.691666666666667,1293.8333333333333,9.533333333333333,54.56666666666666
2004-12-03 13:00:00,2.5,1252.0,140.0,11.0,1016.0,160.0,1008.0,116.0,1593.0,983.0,16.1,34.5,0.6262,13,4,12,0,2.1,2.7,3.1,1206.0,1263.0,1350.0,15.0,14.3,13.2,36.5,38.4,41.7,2.908333333333333,1340.3333333333333,10.899999999999999,50.166666666666664
2004-12-03 14:00:00,2.7,1287.0,169.0,12.8,1078.0,163.0,949.0,123.0,1660.0,1061.0,16.3,35.7,0.656,14,4,12,0,2.5,2.1,2.7,1252.0,1206.0,1263.0,16.1,15.0,14.3,34.5,36.5,38.4,3.091666666666667,1367.1666666666667,12.516666666666666,45.06666666666666
2004-12-03 15:00:00,2.9,1353.0,185.0,14.2,1122.0,190.0,922.0,126.0,1740.0,1139.0,15.8,37.0,0.661,15,4,12,0,2.7,2.5,2.1,1287.0,1252.0,1206.0,16.3,16.1,15.0,35.7,34.5,36.5,2.8083333333333336,1317.1666666666667,14.016666666666667,40.5
2004-12-03 16:00:00,2.8,1309.0,165.0,12.7,1073.0,178.0,954.0,120.0,1657.0,1112.0,15.9,37.2,0.6657,16,4,12,0,2.9,2.7,2.5,1353.0,1287.0,1252.0,15.8,16.3,16.1,37.0,35.7,34.5,2.6666666666666665,1285.1666666666667,15.116666666666667,37.300000000000004
2004-12-03 17:00:00,2.4,1274.0,133.0,11.7,1041.0,150.0,1006.0,119.0,1610.0,994.0,16.9,34.3,0.6549,17,4,12,0,2.8,2.9,2.7,1309.0,1353.0,1287.0,15.9,15.8,16.3,37.2,37.0,35.7,2.6166666666666667,1278.3333333333333,15.566666666666668,36.550000000000004
2004-12-03 18:00:00,3.9,1510.0,233.0,19.3,1277.0,206.0,812.0,149.0,1910.0,1410.0,15.1,39.6,0.6766,18,4,12,0,2.4,2.8,2.9,1274.0,1309.0,1353.0,16.9,15.9,15.8,34.3,37.2,37.0,2.5666666666666664,1280.1666666666667,16.0,35.86666666666667
2004-12-03 19:00:00,3.7,1525.0,242.0,18.2,1246.0,202.0,821.0,145.0,1847.0,1448.0,14.4,43.4,0.7084,19,4,12,0,3.9,2.4,2.8,1510.0,1274.0,1309.0,15.1,16.9,15.9,39.6,34.3,37.2,2.8666666666666667,1330.8333333333333,16.016666666666666,36.38333333333333
2004-12-03 20:00:00,6.6,1843.0,488.0,32.6,1610.0,340.0,624.0,170.0,2390.0,1887.0,12.9,50.5,0.7478,20,4,12,0,3.7,3.9,2.4,1525.0,1510.0,1274.0,14.4,15.1,16.9,43.4,39.6,34.3,3.0666666666666664,1376.3333333333333,15.733333333333334,37.86666666666667
2004-12-03 21:00:00,4.4,1598.0,333.0,20.1,1299.0,274.0,752.0,149.0,1941.0,1627.0,12.1,53.3,0.7536,21,4,12,0,6.6,3.7,3.9,1843.0,1525.0,1510.0,12.9,14.4,15.1,50.5,43.4,39.6,3.7166666666666663,1469.0,15.166666666666666,40.333333333333336
2004-12-03 22:00:00,3.5,1484.0,215.0,14.3,1127.0,253.0,839.0,139.0,1723.0,1491.0,11.0,59.1,0.774,22,4,12,0,4.4,6.6,3.7,1598.0,1843.0,1525.0,12.1,12.9,14.4,53.3,50.5,43.4,3.9666666666666663,1509.8333333333333,14.549999999999999,43.050000000000004
2004-12-03 23:00:00,5.4,1677.0,367.0,21.8,1346.0,300.0,741.0,134.0,2062.0,1657.0,9.7,64.6,0.7771,23,4,12,0,3.5,4.4,6.6,1484.0,1598.0,1843.0,11.0,12.1,12.9,59.1,53.3,50.5,4.083333333333333,1539.0,13.733333333333333,46.699999999999996
2004-03-13 00:00:00,2.7,1280.0,122.0,9.6,964.0,193.0,963.0,113.0,1544.0,1285.0,9.5,64.1,0.7597,0,5,3,1,5.4,3.5,4.4,1677.0,1484.0,1598.0,9.7,11.0,12.1,64.6,59.1,53.3,4.583333333333333,1606.1666666666667,12.533333333333333,51.75
2004-03-13 01:00:00,1.9,1196.0,67.0,7.4,873.0,139.0,1071.0,97.0,1463.0,1144.0,9.1,63.9,0.7423,1,5,3,1,2.7,5.4,3.5,1280.0,1677.0,1484.0,9.5,9.7,11.0,64.1,64.6,59.1,4.383333333333334,1567.8333333333333,11.6,55.833333333333336
2004-03-13 02:00:00,1.6,1184.0,43.0,5.4,782.0,83.0,1176.0,82.0,1365.0,1043.0,8.8,63.9,0.7256,2,5,3,1,1.9,2.7,5.4,1196.0,1280.0,1677.0,9.1,9.5,9.7,63.9,64.1,64.6,4.083333333333333,1513.0,10.716666666666667,59.24999999999999
2004-03-13 03:00:00,1.7,1172.0,46.0,5.4,783.0,96.0,1179.0,82.5,1380.0,996.0,7.8,67.5,0.7173,3,5,3,1,1.6,1.9,2.7,1184.0,1196.0,1280.0,8.8,9.1,9.5,63.9,63.9,64.1,3.25,1403.1666666666667,10.033333333333333,61.48333333333333
2004-03-13 04:00:00,1.35,1147.0,56.0,6.2,821.0,109.0,1132.0,83.0,1412.0,992.0,7.0,71.1,0.7158,4,5,3,1,1.7,1.6,1.9,1172.0,1184.0,1196.0,7.8,8.8,9.1,67.5,63.9,63.9,2.7999999999999994,1332.1666666666667,9.316666666666666,63.85
2004-03-13 05:00:00,1.0,978.0,30.0,2.6,625.0,62.0,1420.0,65.0,1274.0,819.0,8.3,63.6,0.6982,5,5,3,1,1.35,1.7,1.6,1147.0,1172.0,1184.0,7.0,7.8,8.8,71.1,67.5,63.9,2.4416666666666664,1276.0,8.65,65.85
2004-03-13 06:00:00,1.2,1100.0,27.0,2.9,646.0,53.0,1406.0,60.0,1268.0,835.0,7.2,67.5,0.6887,6,5,3,1,1.0,1.35,1.7,978.0,1147.0,1172.0,8.3,7.0,7.8,63.6,71.1,67.5,1.708333333333333,1159.5,8.416666666666666,65.68333333333334
2004-03-13 07:00:00,1.5,1112.0,47.0,5.1,770.0,139.0,1228.0,77.0,1409.0,940.0,6.3,71.9,0.6932,7,5,3,1,1.2,1.0,1.35,1100.0,978.0,1147.0,7.2,8.3,7.0,67.5,63.6,71.1,1.458333333333333,1129.5,8.033333333333333,66.25
2004-03-13 08:00:00,2.7,1336.0,132.0,11.8,1043.0,256.0,935.0,96.0,1678.0,1192.0,6.5,71.6,0.6945,8,5,3,1,1.5,1.2,1.0,1112.0,1100.0,978.0,6.3,7.2,8.3,71.9,67.5,63.6,1.3916666666666664,1115.5,7.566666666666667,67.58333333333333
2004-03-13 09:00:00,3.7,1408.0,239.0,15.1,1153.0,295.0,830.0,119.0,1777.0,1411.0,9.6,59.7,0.7124,9,5,3,1,2.7,1.5,1.2,1336.0,1112.0,1100.0,6.5,6.3,7.2,71.6,71.9,67.5,1.575,1140.8333333333333,7.183333333333333,68.86666666666666
2004-03-13 10:00:00,3.2,1447.0,160.0,12.9,1081.0,250.0,869.0,126.0,1667.0,1465.0,12.4,51.2,0.7335,10,5,3,1,3.7,2.7,1.5,1408.0,1336.0,1112.0,9.6,6.5,6.3,59.7,71.6,71.9,1.9083333333333332,1180.1666666666667,7.483333333333333,67.56666666666666
2004-03-13 11:00:00,4.1,1542.0,283.0,16.1,1184.0,296.0,808.0,158.0,1780.0,1583.0,15.6,42.2,0.7451,11,5,3,1,3.2,3.7,2.7,1447.0,1408.0,1336.0,12.4,9.6,6.5,51.2,59.7,71.6,2.2166666666666663,1230.1666666666667,8.383333333333333,64.25
2004-03-13 12:00:00,3.6,1451.0,210.0,14.0,1117.0,239.0,875.0,161.0,1679.0,1387.0,18.4,33.8,0.709,12,5,3,1,4.1,3.2,3.7,1542.0,1447.0,1408.0,15.6,12.4,9.6,42.2,51.2,59.7,2.733333333333333,1324.1666666666667,9.6,60.68333333333334
2004-03-13 13:00:00,2.8,1328.0,154.0,12.3,1059.0,153.0,987.0,124.0,1600.0,1101.0,19.4,31.3,0.695,13,5,3,1,3.6,4.1,3.2,1451.0,1542.0,1447.0,18.4,15.6,12.4,33.8,42.2,51.2,3.1333333333333333,1382.6666666666667,11.466666666666667,55.06666666666666
2004-03-13 14:00:00,2.0,1207.0,112.0,8.6,924.0,118.0,1088.0,102.0,1488.0,850.0,18.0,34.8,0.7127,14,5,3,1,2.8,3.6,4.1,1328.0,1451.0,1542.0,19.4,18.4,15.6,31.3,33.8,42.2,3.3499999999999996,1418.6666666666667,13.65,48.300000000000004
2004-03-13 15:00:00,2.0,1240.0,108.0,9.2,947.0,119.0,1049.0,116.0,1532.0,947.0,18.4,33.6,0.7042,15,5,3,1,2.0,2.8,3.6,1207.0,1328.0,1451.0,18.0,19.4,18.4,34.8,31.3,33.8,3.233333333333333,1397.1666666666667,15.566666666666668,42.166666666666664
2004-03-13 16:00:00,2.5,1306.0,111.0,10.2,987.0,138.0,1004.0,124.0,1554.0,1078.0,17.6,35.1,0.7012,16,5,3,1,2.0,2.0,2.8,1240.0,1207.0,1328.0,18.4,18.0,19.4,33.6,34.8,31.3,2.9499999999999993,1369.1666666666667,17.03333333333333,37.81666666666667
2004-03-13 17:00:00,2.3,1326.0,97.0,10.6,1000.0,148.0,976.0,125.0,1602.0,1084.0,16.7,37.8,0.7117,17,5,3,1,2.5,2.0,2.0,1306.0,1240.0,1207.0,17.6,18.4,18.0,35.1,33.6,34.8,2.8333333333333326,1345.6666666666667,17.900000000000002,35.13333333333333
2004-03-13 18:00:00,3.2,1473.0,191.0,15.5,1163.0,227.0,831.0,148.0,1779.0,1395.0,16.1,41.0,0.7451,18,5,3,1,2.3,2.5,2.0,1326.0,1306.0,1240.0,16.7,17.6,18.4,37.8,35.1,33.6,2.5333333333333328,1309.6666666666667,18.083333333333332,34.4
2004-03-13 19:00:00,4.2,1609.0,258.0,19.6,1286.0,277.0,758.0,165.0,1922.0,1612.0,15.8,42.4,0.7569,19,5,3,1,3.2,2.3,2.5,1473.0,1326.0,1306.0,16.1,16.7,17.6,41.0,37.8,35.1,2.4666666666666663,1313.3333333333333,17.7,35.6
2004-03-13 20:00:00,4.2,1611.0,284.0,19.2,1274.0,279.0,754.0,161.0,1915.0,1697.0,15.7,44.1,0.7786,20,5,3,1,4.2,3.2,2.3,1609.0,1473.0,1326.0,15.8,16.1,16.7,42.4,41.0,37.8,2.6999999999999993,1360.1666666666667,17.1,37.449999999999996
2004-03-13 21:00:00,4.2,1621.0,269.0,18.3,1247.0,283.0,762.0,159.0,1860.0,1886.0,15.3,46.8,0.8091,21,5,3,1,4.2,4.2,3.2,1611.0,1609.0,1473.0,15.7,15.8,16.1,44.1,42.4,41.0,3.0666666666666664,1427.5,16.716666666666665,39.0
2004-03-13 22:00:00,3.1,1444.0,180.0,13.1,1089.0,214.0,844.0,143.0,1748.0,1624.0,14.6,48.6,0.806,22,5,3,1,4.2,4.2,4.2,1621.0,1611.0,1609.0,15.3,15.7,15.8,46.8,44.1,42.4,3.433333333333333,1491.0,16.2,41.199999999999996
2004-03-13 23:00:00,2.6,1418.0,116.0,10.9,1010.0,172.0,892.0,130.0,1603.0,1536.0,14.7,49.3,0.8193,23,5,3,1,3.1,4.2,4.2,1444.0,1621.0,1611.0,14.6,15.3,15.7,48.6,46.8,44.1,3.533333333333333,1514.0,15.699999999999998,43.449999999999996
2004-03-14 00:00:00,2.9,1534.0,93.0,11.0,1013.0,190.0,889.0,129.0,1611.0,1535.0,13.9,53.6,0.8498,0,6,3,1,2.6,3.1,4.2,1418.0,1444.0,1621.0,14.7,14.6,15.3,49.3,48.6,46.8,3.5833333333333326,1529.3333333333333,15.366666666666667,45.36666666666667
2004-03-14 01:00:00,2.8,1484.0,131.0,11.9,1045.0,174.0,880.0,119.0,1624.0,1530.0,14.6,51.5,0.8536,1,6,3,1,2.9,2.6,3.1,1534.0,1418.0,1444.0,13.9,14.7,14.6,53.6,49.3,48.6,3.533333333333333,1539.5,15.0,47.46666666666667
2004-03-14 02:00:00,2.5,1367.0,92.0,8.6,925.0,128.0,953.0,104.0,1543.0,1337.0,12.5,58.9,0.8537,2,6,3,1,2.8,2.9,2.6,1484.0,1534.0,1418.0,14.6,13.9,14.7,51.5,53.6,49.3,3.2999999999999994,1518.6666666666667,14.799999999999999,48.98333333333333
2004-03-14 03:00:00,2.4,1344.0,132.0,9.7,968.0,99.0,921.0,93.0,1620.0,1278.0,11.6,63.4,0.8674,3,6,3,1,2.5,2.8,2.9,1367.0,1484.0,1534.0,12.5,14.6,13.9,58.9,51.5,53.6,3.016666666666666,1478.0,14.266666666666666,51.449999999999996
2004-03-14 04:00:00,1.7999999999999998,1130.0,56.0,5.2,773.0,70.0,1130.0,82.0,1452.0,1051.0,12.1,61.1,0.8603,4,6,3,1,2.4,2.5,2.8,1344.0,1367.0,1484.0,11.6,12.5,14.6,63.4,58.9,51.5,2.7166666666666663,1431.8333333333333,13.65,54.21666666666666
2004-03-14 05:00:00,1.2,1062.0,32.0,3.7,691.0,53.0,1272.0,70.0,1377.0,929.0,11.5,63.1,0.8533,5,6,3,1,1.7999999999999998,2.4,2.5,1130.0,1344.0,1367.0,12.1,11.6,12.5,61.1,63.4,58.9,2.4999999999999996,1379.5,13.233333333333334,56.300000000000004
2004-03-14 06:00:00,1.0,1076.0,29.0,2.5,618.0,44.0,1395.0,63.0,1333.0,872.0,11.6,62.2,0.8473,6,6,3,1,1.2,1.7999999999999998,2.4,1062.0,1130.0,1344.0,11.5,12.1,11.6,63.1,61.1,63.4,2.266666666666666,1320.1666666666667,12.700000000000001,58.6
2004-03-14 07:00:00,0.9,1028.0,27.0,2.4,615.0,74.0,1384.0,67.0,1340.0,853.0,10.4,67.6,0.853,7,6,3,1,1.0,1.2,1.7999999999999998,1076.0,1062.0,1130.0,11.6,11.5,12.1,62.2,63.1,61.1,1.9499999999999995,1243.8333333333333,12.316666666666665,60.03333333333333
2004-03-14 08:00:00,1.4,1155.0,36.0,4.2,722.0,101.0,1225.0,84.0,1414.0,959.0,11.6,62.7,0.853,8,6,3,1,0.9,1.0,1.2,1028.0,1076.0,1062.0,10.4,11.6,11.5,67.6,62.2,63.1,1.6333333333333329,1167.8333333333333,11.616666666666667,62.71666666666666
2004-03-14 09:00:00,1.6,1235.0,57.0,6.4,828.0,118.0,1055.0,83.0,1527.0,1093.0,12.4,60.0,0.8627,9,6,3,1,1.4,0.9,1.0,1155.0,1028.0,1076.0,11.6,10.4,11.6,62.7,67.6,62.2,1.4499999999999995,1132.5,11.466666666666667,63.35
2004-03-14 10:00:00,2.2,1332.0,129.0,8.6,923.0,144.0,952.0,98.0,1614.0,1225.0,14.5,53.1,0.8728,10,6,3,1,1.6,1.4,0.9,1235.0,1155.0,1028.0,12.4,11.6,10.4,60.0,62.7,67.6,1.3166666666666664,1114.3333333333333,11.6,62.78333333333334
2004-03-14 11:00:00,2.8,1445.0,148.0,10.9,1009.0,176.0,878.0,114.0,1696.0,1355.0,16.9,46.1,0.8789,11,6,3,1,2.2,1.6,1.4,1332.0,1235.0,1155.0,14.5,12.4,11.6,53.1,60.0,62.7,1.383333333333333,1148.0,12.0,61.449999999999996
